kingdom,order,family,class,genus_matched,fa,ecosystem,concentration
Plantae,Chlamydomonadales,Chlamydomonadaceae,Chlorophyceae,Chlamydomonas,ala,Freshwater,35.99537463
Plantae,Chlamydomonadales,Chlamydomonadaceae,Chlorophyceae,Chlamydomonas,ala,Marine,21.24806019
Plantae,Chlamydomonadales,Chlamydomonadaceae,Chlorophyceae,Chlamydomonas,dha,Freshwater,0
Plantae,Chlamydomonadales,Chlamydomonadaceae,Chlorophyceae,Chlamydomonas,dha,Marine,0
Plantae,Chlamydomonadales,Chlamydomonadaceae,Chlorophyceae,Chlamydomonas,epa,Freshwater,0
Plantae,Chlamydomonadales,Chlamydomonadaceae,Chlorophyceae,Chlamydomonas,epa,Marine,10.99090909
Plantae,Chlamydomonadales,Dunaliellaceae,Chlorophyceae,Dunaliella,ala,Marine,25.47732173
Plantae,Chlamydomonadales,Dunaliellaceae,Chlorophyceae,Dunaliella,dha,Marine,0.108333333
Plantae,Chlamydomonadales,Dunaliellaceae,Chlorophyceae,Dunaliella,epa,Marine,5.766666667
Plantae,Sphaeropleales,Scenedesmaceae,Chlorophyceae,Scenedesmus,ala,Freshwater,26.97489
Plantae,Sphaeropleales,Scenedesmaceae,Chlorophyceae,Scenedesmus,ala,Marine,4.5
Plantae,Sphaeropleales,Scenedesmaceae,Chlorophyceae,Scenedesmus,dha,Freshwater,0.026753481
Plantae,Sphaeropleales,Scenedesmaceae,Chlorophyceae,Scenedesmus,dha,Marine,0
Plantae,Sphaeropleales,Scenedesmaceae,Chlorophyceae,Scenedesmus,epa,Freshwater,0.010942976
Plantae,Sphaeropleales,Scenedesmaceae,Chlorophyceae,Scenedesmus,epa,Marine,0.1
Plantae,Sphaeropleales,Selenastraceae,Chlorophyceae,Monoraphidium,ala,Freshwater,33.73001531
Plantae,Sphaeropleales,Selenastraceae,Chlorophyceae,Monoraphidium,dha,Freshwater,0
Plantae,Sphaeropleales,Selenastraceae,Chlorophyceae,Monoraphidium,epa,Freshwater,0
Plantae,Chlorellales,Oocystaceae,Trebouxiophyceae,Chlorella,ala,Freshwater,20.63088004
Plantae,Chlorellales,Oocystaceae,Trebouxiophyceae,Chlorella,ala,Marine,16.15981579
Plantae,Chlorellales,Oocystaceae,Trebouxiophyceae,Chlorella,dha,Freshwater,0
Plantae,Chlorellales,Oocystaceae,Trebouxiophyceae,Chlorella,dha,Marine,0
Plantae,Chlorellales,Oocystaceae,Trebouxiophyceae,Chlorella,epa,Freshwater,2.207953052
Plantae,Chlorellales,Oocystaceae,Trebouxiophyceae,Chlorella,epa,Marine,0
Plantae,Chlorellales,Oocystaceae,Trebouxiophyceae,Nannochloris,ala,Marine,8.329656667
Plantae,Chlorellales,Oocystaceae,Trebouxiophyceae,Nannochloris,dha,Marine,0.016735
Plantae,Chlorellales,Oocystaceae,Trebouxiophyceae,Nannochloris,epa,Marine,8.304373333
Plantae,Cladophorales,Cladophoraceae,Ulvophyceae,Chaetomorpha,ala,Marine,0
Plantae,Cladophorales,Cladophoraceae,Ulvophyceae,Chaetomorpha,dha,Marine,0
Plantae,Cladophorales,Cladophoraceae,Ulvophyceae,Chaetomorpha,epa,Marine,0.85
Plantae,Cladophorales,Cladophoraceae,Ulvophyceae,Cladophora,ala,Freshwater,1.266997507
Plantae,Cladophorales,Cladophoraceae,Ulvophyceae,Cladophora,ala,Marine,5.433333333
Plantae,Cladophorales,Cladophoraceae,Ulvophyceae,Cladophora,dha,Freshwater,0.060551771
Plantae,Cladophorales,Cladophoraceae,Ulvophyceae,Cladophora,dha,Marine,0.62
Plantae,Cladophorales,Cladophoraceae,Ulvophyceae,Cladophora,epa,Freshwater,9.589540274
Plantae,Cladophorales,Cladophoraceae,Ulvophyceae,Cladophora,epa,Marine,6.773333333
Plantae,Cladophorales,Cladophoraceae,Ulvophyceae,Rhizoclonium,ala,Marine,23.7
Plantae,Cladophorales,Cladophoraceae,Ulvophyceae,Rhizoclonium,dha,Marine,0
Plantae,Cladophorales,Cladophoraceae,Ulvophyceae,Rhizoclonium,epa,Marine,0
Plantae,Trebouxiales,Botryococcaceae,Trebouxiophyceae,Botryococcus,ala,Freshwater,28.43333333
Plantae,Trebouxiales,Botryococcaceae,Trebouxiophyceae,Botryococcus,dha,Freshwater,0
Plantae,Trebouxiales,Botryococcaceae,Trebouxiophyceae,Botryococcus,epa,Freshwater,0.016666667
Plantae,Ulvales,Ulvaceae,Ulvophyceae,Enteromorpha,ala,Marine,16
Plantae,Ulvales,Ulvaceae,Ulvophyceae,Enteromorpha,dha,Marine,0.128571429
Plantae,Ulvales,Ulvaceae,Ulvophyceae,Enteromorpha,epa,Marine,2.602857143
Plantae,Ulvales,Ulvaceae,Ulvophyceae,Ulva,ala,Freshwater,10.45
Plantae,Ulvales,Ulvaceae,Ulvophyceae,Ulva,ala,Marine,14.71333333
Plantae,Ulvales,Ulvaceae,Ulvophyceae,Ulva,dha,Freshwater,1.25
Plantae,Ulvales,Ulvaceae,Ulvophyceae,Ulva,dha,Marine,0.266666667
Plantae,Ulvales,Ulvaceae,Ulvophyceae,Ulva,epa,Freshwater,1.1
Plantae,Ulvales,Ulvaceae,Ulvophyceae,Ulva,epa,Marine,2.833333333
Plantae,Ulvales,Ulvellaceae,Ulvophyceae,Entocladia,ala,Marine,12.1
Plantae,Ulvales,Ulvellaceae,Ulvophyceae,Entocladia,dha,Marine,1
Plantae,Ulvales,Ulvellaceae,Ulvophyceae,Entocladia,epa,Marine,4.6
Plantae,Chlorodendrales,Chlorodendraceae,Chlorodendrophyceae,Tetraselmis,ala,Marine,11.73743333
Plantae,Chlorodendrales,Chlorodendraceae,Chlorodendrophyceae,Tetraselmis,dha,Marine,0.008633333
Plantae,Chlorodendrales,Chlorodendraceae,Chlorodendrophyceae,Tetraselmis,epa,Marine,5.492133333
Plantae,Mamiellales,Mamiellaceae,Mamiellophyceae,Micromonas,ala,Marine,4.200625
Plantae,Mamiellales,Mamiellaceae,Mamiellophyceae,Micromonas,dha,Marine,6.529625
Plantae,Mamiellales,Mamiellaceae,Mamiellophyceae,Micromonas,epa,Marine,0.83835
Plantae,Pyramimonadales,Pyramimonadaceae,Pyramimonadophyceae,Pyramimonas,ala,Marine,3.6708
Plantae,Pyramimonadales,Pyramimonadaceae,Pyramimonadophyceae,Pyramimonas,dha,Marine,3.591
Plantae,Pyramimonadales,Pyramimonadaceae,Pyramimonadophyceae,Pyramimonas,epa,Marine,0.3192
Plantae,Prasiolales,Prasiolaceae,Trebouxiophyceae,Prasiola,ala,Marine,26.1
Plantae,Prasiolales,Prasiolaceae,Trebouxiophyceae,Prasiola,dha,Marine,0
Plantae,Prasiolales,Prasiolaceae,Trebouxiophyceae,Prasiola,epa,Marine,8.4
Plantae,Prasiolales,Prasiolaceae,Trebouxiophyceae,Stichococcus,ala,Marine,18.83683333
Plantae,Prasiolales,Prasiolaceae,Trebouxiophyceae,Stichococcus,dha,Marine,0
Plantae,Prasiolales,Prasiolaceae,Trebouxiophyceae,Stichococcus,epa,Marine,0
Plantae,Porphyridiales,Porphyridiaceae,Porphyridiophyceae,Rhodosorus,ala,Marine,26.5
Plantae,Porphyridiales,Porphyridiaceae,Porphyridiophyceae,Rhodosorus,dha,Marine,0
Plantae,Porphyridiales,Porphyridiaceae,Porphyridiophyceae,Rhodosorus,epa,Marine,20.7
Plantae,Klebsormidiales,Klebsormidiaceae,Klebsormidiophyceae,Klebsormidium,ala,Marine,8.26
Plantae,Klebsormidiales,Klebsormidiaceae,Klebsormidiophyceae,Klebsormidium,dha,Marine,0
Plantae,Klebsormidiales,Klebsormidiaceae,Klebsormidiophyceae,Klebsormidium,epa,Marine,0
Plantae,Alismatales,Zosteraceae,Magnoliopsida,Zostera,ala,Marine,24.12
Plantae,Alismatales,Zosteraceae,Magnoliopsida,Zostera,dha,Marine,0.4
Plantae,Alismatales,Zosteraceae,Magnoliopsida,Zostera,epa,Marine,4.58
Plantae,Alismatales,Araceae,Magnoliopsida,Arum,ala,Terrestrial,0.4
Plantae,Bangiales,Bangiaceae,Bangiophyceae,Porphyra,ala,Marine,2
Plantae,Bangiales,Bangiaceae,Bangiophyceae,Porphyra,dha,Marine,0.02
Plantae,Bangiales,Bangiaceae,Bangiophyceae,Porphyra,epa,Marine,19.932
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Apoglossum,ala,Marine,2.1
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Apoglossum,dha,Marine,0
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Apoglossum,epa,Marine,5.8
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Delesseria,ala,Marine,0
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Delesseria,dha,Marine,1
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Delesseria,epa,Marine,4.4
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Myriogramme,ala,Marine,0
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Myriogramme,dha,Marine,0
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Myriogramme,epa,Marine,48.3
Plantae,Ceramiales,Delesseriaceae,Florideophyceae,Pantoneura,ala,Marine,0
