ecosystem,habitat,notes,trophic_position,organ,species,genus,species1,phylum,class,order,family,original_study,name_of_data_extractor,study_number,date_data_extracted,data_from,reference,reference_notes,source,common_name,dha,epa,ala,fa_id
Marine,NA,Phytoplankton,Producer,NA,Chaetoceros_calcitrans,Chaetoceros,calcitrans,NA,NA,NA,NA,Abe et al 2014,Lily,2,24_06_20,Columbo et al 2017,cf,,NA,NA,0,18.8,4.9,2219
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Abe et al 2014,Lily,2,24_06_20,Columbo et al 2017,cf,,NA,NA,3.6,16.6,4,2220
Marine,NA,Phytoplankton,Producer,NA,Pavlova_lutheri,Pavlova,lutheri,NA,NA,NA,NA,Abe et al 2014,Lily,2,24_06_20,Columbo et al 2017,cf,,NA,NA,7.7,3.9,20.3,2221
Marine,NA,Phytoplankton,Producer,NA,Phaeodactylum_tricornutum,Phaeodactylum,tricornutum,NA,NA,NA,NA,Abe et al 2014,Lily,2,24_06_20,Columbo et al 2017,cf,,NA,NA,0.5,21.4,4,2222
Marine,NA,Phytoplankton,Producer,NA,Thalassiosira_pseudonana,Thalassiosira,pseudonana,NA,NA,NA,NA,Abe et al 2014,Lily,2,24_06_20,Columbo et al 2017,cf,,NA,NA,6.5,10.8,2.9,2223
Marine,NA,Phytoplankton,Producer,NA,Thalassiosira_pseudonana,Thalassiosira,pseudonana,NA,NA,NA,NA,Abe et al 2014,Lily,2,24_06_20,Columbo et al 2017,cf,,NA,NA,6.5,10.8,2.9,2224
Marine,NA,Phytoplankton,Producer,NA,Syracosphaera_carterae,Syracosphaera,carterae,NA,NA,NA,NA,Ackman 1968,Lily,2,24_06_20,Columbo et al 2017,"Ackman, R. G., Tocher, C. S., & McLachlan, J. (1968). Marine phytoplankter fatty acids. Journal of the Fisheries Board of Canada, 25(8), 1603-1620.",,NA,NA,8.6,3.9,9.5,2225
Marine,NA,Phytoplankton,Producer,NA,Phaeodactylum_tricornutum,Phaeodactylum,tricornutum,NA,NA,NA,NA,Ackman 1968,Lily,2,24_06_20,Columbo et al 2017,"Ackman, R. G., Tocher, C. S., & McLachlan, J. (1968). Marine phytoplankter fatty acids. Journal of the Fisheries Board of Canada, 25(8), 1603-1620.",,NA,NA,0.8,8.6,1,2226
Marine,NA,Phytoplankton,Producer,NA,Skeletonema_costatum,Skeletonema,costatum,NA,NA,NA,NA,Ackman 1968,Lily,2,24_06_20,Columbo et al 2017,"Ackman, R. G., Tocher, C. S., & McLachlan, J. (1968). Marine phytoplankter fatty acids. Journal of the Fisheries Board of Canada, 25(8), 1603-1620.",,NA,NA,1.7,13.8,1.1,2227
Marine,NA,Phytoplankton,Producer,NA,Amphidinium_carterae,Amphidinium,carterae,NA,NA,NA,NA,Ackman et al 1968,Lily,2,24_06_20,Columbo et al 2017,"Ackman, R. G., Tocher, C. S., & McLachlan, J. (1968). Marine phytoplankter fatty acids. Journal of the Fisheries Board of Canada, 25(8), 1603-1620.",,NA,NA,25.4,7.4,0.1,2228
Terrestrial,NA,Terrestrial plants,Producer,NA,Anacardium__occidentale,Anacardium,,NA,NA,NA,NA,Adeyeye et al 2011,Lily,2,24_06_20,Columbo et al 2017,cf,,NA,Cashew kernel,NA,NA,17.5,3547
Freshwater,NA,NA,Producer,NA,Chlamydomonas_sp,Chlamydomonas,sp,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,29.59750173,199
Freshwater,NA,NA,Producer,NA,Scenedesmus_quadricauda,Scenedesmus,quadricauda,Chlorophyta,Chlorophyceae,Sphaeropleales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,41.34890004,200
Freshwater,NA,NA,Producer,NA,Scenedesmus_quadricauda,Scenedesmus,quadricauda,Chlorophyta,Chlorophyceae,Sphaeropleales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,24.58235075,201
Freshwater,NA,NA,Producer,NA,Scenedesmus_acutus,Scenedesmus,acutus,Chlorophyta,Chlorophyceae,Sphaeropleales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,31.63548279,202
Freshwater,NA,NA,Producer,NA,Scenedesmus_acutus,Scenedesmus,acutus,Chlorophyta,Chlorophyceae,Sphaeropleales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,6.08E-02,13.31783223,203
Freshwater,NA,NA,Producer,NA,Chlamydomonas_sp,Chlamydomonas,sp,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,2.400357391,204
Freshwater,NA,NA,Producer,NA,Scenedesmus_quadricauda,Scenedesmus,quadricauda,Chlorophyta,Chlorophyceae,Sphaeropleales,NA,Ahlgren1992,NA,7,NA,Galloway and Winder 2015,"Ahlgren, G., Zeipel, K., & Gustafsson, I. B. (1998). Phosphorus limitation effects on the fatty acid content and nutritional quality of a green alga and a diatom. Internationale Vereinigung für theoretische und angewandte Limnologie: Verhandlungen, 26(4), 1659-1664.",,NA,NA,0,0,2.170817252,205
