Source ecosystem,ID,Taxa,Phyto Class,18:3n3,20:5n3,22:6n3,Study
Freshwater,Algae,Cyclotella,Bacillariophyceae,0.000459265,0.06685584,0.018747847,Muller-Navarra 1995 (L&O)
Freshwater,Algae,Cyclotella,Bacillariophyceae,0,0.023401418,0.017463326,Muller-Navarra 1995 (L&O)
Freshwater,Algae,Cladophora,Chlorophyceae,12.19,2.31,0.02,Napolitano 1994 (J Phycol)
Freshwater,Algae,Cladophora,Chlorophyceae,25.81,2.71,0.22,Napolitano 1994 (J Phycol)
Freshwater,Algae,Lab Chlamydomonas,Chlorophyceae,21.325,0,0,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Lab Scenedesmus acutus,Chlorophyceae,14.892,0.068,0,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Lab Scenedesmus quadricaula,Chlorophyceae,20.087,0,0,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Monoraphidium minutum,Chlorophyceae,0.240800459,0,0,Wacker et al 2002 (L&O)
Freshwater,Algae,Nannochloropsis limnetica,Chlorophyceae,0.003146267,0.299852946,0,Wacker et al 2002 (L&O)
Freshwater,Algae,Scenedesmus,Chlorophyceae,0.101542559,0,0,Muller-Navarra 1995 (L&O)
Freshwater,Algae,Scenedesmus,Chlorophyceae,0.322909585,0.009517335,0.023906639,Muller-Navarra 1995 (L&O)
Freshwater,Algae,Cladophora,Chlorophyceae,0.122883065,0.02328629,0.000201613,Napolitano 1994 (J Phycol)
Freshwater,Algae,Cladophora,Chlorophyceae,0.235278031,0.024703737,0.002005469,Napolitano 1994 (J Phycol)
Freshwater,Algae,Lab Chromulina chinophila,Chrysophyceae,2.306,0,2.238,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Lab Crytomonas,Cryptomonadaceae,4.478,6.465,2.287,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Lab Rhodomonas lacustris,Cryptophyceae,18.332,13.177,3.802,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Oocystis,Cryptophyceae,0.308,0.042,0,Patil et al 2007 (Aquaculture International)
Freshwater,Algae,Rhodomonas,Cryptophyceae,0.262237762,0.119688004,0.008068854,Wenzel et al. 2012 (Fresh Biol)
Freshwater,Algae,Lab Microcystis aeruginosa,Cyanophyta,0.996,0.033,0,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Lab Microcystis wesenbergii,Cyanophyta,0.913,0.076,0,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Lab Spirulina,Cyanophyta,6.735,0.000,0,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Lab Anabaena,Cyanophyta,0.497,0.059,0,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Lab Nostoc muscorum,Cyanophyta,0,0.000,0,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Lab Oscillatoria agardhii,Cyanophyta,0.037,0.092,0,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Synechococcus elongatus,Cyanophyta,0,0,0,Martin-Creuzburg et al 2009 (Proc B)
Freshwater,Algae,Lab Peridinium cinctum,Dinophyceae,0.303,10.235,14.459,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Lab Peridinopsis borgei,Dinophyceae,0,3.562,5.044,Ahlgren et al 1992 (J Phycol)
Freshwater,Algae,Nannochloropsis limnetica,Gammaproteobacteria,0.009946125,0.501761293,0,Martin-Creuzburg et al 2009 (Proc B)
Freshwater,Algae etc,Lab periphyton,Mix,0.206419258,0.072818455,0.002908726,Napolitano 1994 (J Phycol)
Freshwater,Algae etc,Lab periphyton,Mix,0.255041152,0.078497942,0.003292181,Napolitano 1994 (J Phycol)
Freshwater,Algae etc,Lab periphyton,Mix,20.58,7.26,0.29,Napolitano 1994 (J Phycol)
Freshwater,Algae etc,Lab periphyton,Mix,24.79,7.63,0.32,Napolitano 1994 (J Phycol)
Freshwater,Algae etc,Microbial Mat,Mix,0.000,0.001,n/a,Boechat et al 2011 (FEMS Micro)
